Local Authority,Number of Pubs
Camden,276
Hackney,327
Hammersmith,149
Islington,255
Kensington and Chelsea,110
Lambeth,168
Lewisham,79
Southwark,209
Tower Hamlets,1
Wandsworth,175
Westminster,390
Barking,4
Barnet,109
Bexley,4
Croydon,26
Ealing,7
Enfield,87
Haringey,95
Harrow,9
Havering,0
Hillingdon,8
Hounslow,1
Kingston upon Thames,1
Merton,56
Newham,42
Redbridge,0
Richmond upon Thames,3
Sutton,6
Waltham Forest,1
Greenwhich,0
Brent,72
Bromley,22
City of London,244
