fas_id,name,address,postcode,easting,northing,latitude,longitude,local_authority
84373,Ace Of Club's,"Wingate And Finchley Football Club,  Summers Lane, London",N12 0PD,526634,191269,51.606027,-0.172783,Barnet
84388,Age Concern Barnet,"Meritage Club,  Church End, London",NW4 4JT,522912,189526,51.591187,-0.227097,Barnet
84390,Ahir Lorenzo's Bar Restaurant,"298 Nether Street, London",N3 1RJ,525064,190865,51.602747,-0.195571,Barnet
84398,Albanian Association,"Albanian Association,  Summers Lane, London",N12 0PD,526634,191269,51.606027,-0.172783,Barnet
84481,Bald Faced Stag,"Bald Faced Stag, 69 High Road, London",N2 8AB,527237,189406,51.589149,-0.164741,Barnet
84493,Barnet Copthall Leisure Centre,"Barnet Copthall Leisure Centre,  Champions Way, London",NW4 1PX,522894,191081,51.605174,-0.226812,Barnet
84595,Brondesbury Cricket Tennis Bowls & Squash Club,"Brondesbury Cricket Tennis And Squash Club, 5 Harman Drive, London",NW2 2EB,524400,185936,51.558588,-0.206898,Barnet
84666,Camden Playing Fields Sports And Social Club,"Old Camdenians Football Club,  Burtonhole Lane, London",NW7 1AS,523547,192816,51.620624,-0.216777,Barnet
84684,Catcher In The Rye,"315 Regents Park Road, London",N3 1DP,525040,190525,51.599697,-0.196039,Barnet
84687,Cavalier Public House,"67 Russell Lane, London",N20 0BB,527593,193929,51.629715,-0.15796,Barnet
84814,Cricklewood Trades Hall Club And Institute,"134 Cricklewood Lane, London",NW2 2DP,524240,186075,51.559882,-0.209156,Barnet
84839,Darren O'Brien,"243 Golders Green Road, London",NW11 9PN,524263,188131,51.578345,-0.208098,Barnet
84840,David Lloyd Club,"David Lloyd Leisure Centre,  Leisure Way, London",N12 0QZ,526518,191247,51.605864,-0.17445,Barnet
84906,East Finchley Constitutional Club,"East Finchley Constitutional Club,  The Walks, London",N2 8DE,526933,189788,51.592651,-0.168988,Barnet
84934,Elephant Inn,"Elephant Inn, 283 Ballards Lane, London",N12 8NR,526128,191854,51.611398,-0.179861,Barnet
84986,Finchley Bowling Club,"Finchley Bowling Club,  Etchingham Park Road, London",N3 2DT,525935,191281,51.606292,-0.182852,Barnet
84991,Finchley Golf Club,"Nether Court,  Frith Lane, London",NW7 1PU,524591,191645,51.609861,-0.20212,Barnet
84995,Finchley Lawn Tennis Club,"Finchley Lawn Tennis Club,  Brent Way, London",N3 1AJ,525024,191567,51.609074,-0.195898,Barnet
84996,Finchley Lido,"Great North Leisure Park,  Chaplin Square, London",N12 0GL,526582,191132,51.604808,-0.173568,Barnet
84997,"Finchley Manor Lawn Tennis, Squash And Health Club","Finchley Manor Lawn Tennis And Squash Rackets Club,  Lyndhurst Gardens, London",N3 1TD,524474,190734,51.6017,-0.204132,Barnet
85003,Finchley United Services Club,"307 Ballards Lane, London",N12 8LY,526259,192023,51.612887,-0.177923,Barnet
85044,Friary Park Bowling Club,"Friary Park,  Friary Road, London",N20 0NR,527353,192773,51.619381,-0.161845,Barnet
